Date of Inquiry,Date of Contact,Client Name,Phone Number,Email,Lead Status,Viewing Scheduled,Viewed,Follow-up Comment,Outcome
2025-03-05,2025-03-06,Connor Smith,499-843-6679x690,mgonzalez@ford.com,Cold,No,No,Did Not Pick,Still Deciding
2025-03-07,2025-04-04,Lori Ingram DVM,+1-055-269-3869x3319,mistyhall@yahoo.com,Cold,Yes,Yes,Other Interests,Not Interested
2025-02-21,2025-03-15,Holly Hughes,(599)502-8268x12639,cathy54@joseph.info,Warm,No,No,Agents,Still Deciding
2025-03-16,2025-04-06,Patrick Turner,6820488413,rbrooks@walsh.net,Cold,Yes,Yes,Booked Site Visit,Not Interested
2025-03-26,2025-03-26,Molly Smith,(890)351-1422,bethanyhardin@yahoo.com,Cold,No,No,Sent Info via Email,Still Deciding
2025-04-04,2025-04-06,Jessica Mcintyre,536-130-4368x69271,jennifer18@gmail.com,Warm,No,No,Other Interests,Not Interested
2025-02-27,2025-03-02,Christine Palmer,+1-850-094-0431,jasmine25@hotmail.com,Warm,No,No,Agents,Still Deciding
2025-01-29,2025-03-18,Dr. Xavier Smith,(057)041-2483x1875,zunigaerika@edwards-brown.com,Hot,No,No,Not Interested,Still Deciding
2025-04-07,2025-04-08,Jennifer Hurley,586-827-7070,amy75@yahoo.com,Hot,No,No,Visited,Not Interested
2025-02-04,2025-02-26,Cynthia Ward,(929)254-9957x7018,larsonashley@yahoo.com,Cold,No,No,Agents,Not Interested
2025-01-25,2025-04-02,Tammy Hernandez DDS,(565)554-1284x95659,tiffany98@yahoo.com,Cold,Yes,Yes,Other Interests,Still Deciding
2025-01-13,2025-02-10,James Mann,821-675-5273,rodriguezallison@white.com,Warm,No,No,Sent Info via Email,Not Interested
2025-03-16,2025-04-01,Tyler Anderson,769-696-0043,rlee@yahoo.com,Warm,No,No,Booked Site Visit,Purchased
2025-02-21,2025-03-27,Anna Baxter,(545)453-4611x6359,cartersteven@hotmail.com,Cold,Yes,Yes,Did Not Pick,Booked Another Visit
2025-03-14,2025-03-21,Monica Burke,719-694-5242,bmitchell@rodriguez.com,Hot,No,No,Visited,Not Interested
2025-03-08,2025-03-31,Ashley Stephens,268.460.5954,megancrawford@mccormick.org,Cold,Yes,Yes,Follow Up with Another Call,Not Interested
2025-03-19,2025-03-26,Billy Lewis,001-105-462-0398,thomas62@yahoo.com,Hot,Yes,No,Not Interested,Not Interested
2025-03-21,2025-04-05,Christopher Butler,(656)242-4087x979,rhodesaaron@lucero.org,Cold,Yes,No,Agents,Booked Another Visit
2025-03-24,2025-04-02,Melissa Graham,840-765-7090x24802,bschmidt@gonzalez.com,Warm,No,No,Other Interests,Still Deciding
2025-01-21,2025-03-09,Jennifer Gibson,+1-428-080-9674,cjackson@davenport.com,Warm,No,No,Booked Site Visit,Purchased
2025-02-22,2025-04-01,April Mclaughlin,7678055312,lsimon@hotmail.com,Cold,Yes,No,Booked Site Visit,Purchased
2025-01-11,2025-02-05,Mrs. Crystal Gonzalez,(572)131-2411,andrewshelton@cooper-shepherd.biz,Cold,No,No,Sent Info via Email,Still Deciding
2025-01-18,2025-02-15,Amber Welch,468-170-6069x7535,fraziertracy@ayers-nichols.org,Warm,No,No,Visited,Booked Another Visit
2025-03-24,2025-04-06,Allen Kennedy,(567)958-9037x23342,tammymckee@hotmail.com,Warm,No,No,Other Interests,Booked Another Visit
2025-03-16,2025-04-01,Corey Jones,001-247-376-1482,xmoore@cole.net,Cold,No,No,Follow Up with Another Call,Not Interested
2025-01-10,2025-03-13,Lydia Griffin,(418)973-5244x204,elizabeth56@hotmail.com,Hot,No,No,Follow Up with Another Call,Purchased
2025-04-03,2025-04-07,Jessica Cruz,457-291-6564,xburch@gmail.com,Cold,Yes,Yes,Did Not Pick,Purchased
2025-01-10,2025-02-06,Hannah Riley,(179)980-0314x191,hollydixon@walker.org,Cold,Yes,No,Other Interests,Still Deciding
2025-01-19,2025-03-04,Roger Shepherd,393.280.9058x5387,melody26@yahoo.com,Cold,No,No,Visited,Purchased
2025-01-09,2025-02-09,Danielle Green,308.124.7392,icasey@garcia.org,Warm,No,No,Other Interests,Not Interested
2025-03-09,2025-03-24,Terri Dickson,889-601-7448,cpearson@hotmail.com,Hot,No,No,Sent Info via Email,Not Interested
2025-04-05,2025-04-07,David Carroll,881-353-8600,houseandrew@coleman.com,Hot,No,No,Other Interests,Not Interested
2025-02-15,2025-02-28,Stephen Miller,959.676.6746x159,rwallace@thomas.org,Warm,Yes,Yes,Booked Site Visit,Still Deciding
2025-01-26,2025-01-29,Tanya Williams,(011)783-0381,ian21@gmail.com,Warm,Yes,No,Follow Up with Another Call,Purchased
2025-02-17,2025-03-01,Ryan Moore,945.289.1974x87158,mark15@yahoo.com,Cold,Yes,Yes,Follow Up with Another Call,Purchased
2025-03-30,2025-04-07,Brandon Russell,118.832.3932x80228,hudsonjohnathan@gmail.com,Cold,No,No,Follow Up with Another Call,Still Deciding
